evals, mean, best, worst, success num
400, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
401, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
402, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
403, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
404, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
405, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
406, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
407, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
408, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
409, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
410, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
411, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
412, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
413, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
414, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
415, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
416, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
417, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
418, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
419, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
420, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
421, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
422, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
423, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
424, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
425, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
426, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
427, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
428, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
429, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
430, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
431, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
432, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
433, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
434, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
435, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
436, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
437, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
438, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
439, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
440, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
441, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
442, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
443, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
444, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
445, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
446, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
447, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
448, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
449, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
450, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
451, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
452, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
453, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
454, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
455, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
456, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
457, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
458, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
459, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
460, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
461, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
462, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
463, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
464, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
465, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
466, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
467, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
468, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
469, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
470, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
471, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
472, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
473, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
474, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
475, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
476, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
477, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
478, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
479, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
480, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
481, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
482, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
483, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
484, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
485, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
486, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
487, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
488, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
489, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
490, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
491, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
492, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
493, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
494, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
495, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
496, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
497, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
498, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
499, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
500, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
501, 1.0253709487826743, 0.15421546836412167, 1.9326065183670058, 0
